2009	01	18	SY	TM	5	1	F	KW	8	1559	1312	+2	−3	67	128
2009	01	20	KW	TM	2	0	F		6	1460	1306	+3	0	92	128
2009	04	14	MV	TM	1	3	SCQ		-21	1073	1327	−3	+5	180	124
2009	04	16	TM	BT	7	0	SCQ	MV	2	1329	639	0	0	124	222
2009	04	18	TM	PH	5	0	SCQ	MV	4	1333	826	0	0	124	205
2009	10	20	VN	TM	1	0	HCM		10	1363	1323	+2	−2	119	126
2009	10	22	SG	TM	4	2	HCM	VN	18	1406	1305	+4	−5	108	131
2010	02	17	KP	TM	1	1	SQC	LK	-12	1528	1317	−1	+6	82	125
2010	02	19	TM	IN	1	0	SQC	LK	13	1330	1171	+3	−2	122	162
2010	02	21	TM	KG	1	0	SQC	LK	12	1342	1164	+2	−4	120	164
2010	02	24	TM	TJ	2	0	SQC	LK	26	1368	1271	+3	−4	117	136
2010	02	27	KP	TM	1	1	SQC	LK	-10	1544	1378	−3	+1	78	116
2011	03	21	TM	PK	3	0	SCQ	MY	4	1382	894	+2	0	113	199
2011	03	23	TM	TW	2	0	SCQ	MY	4	1386	924	+1	−1	112	194
2011	03	25	IN	TM	1	1	SCQ	MY	11	1175	1375	+3	−5	162	117
2011	07	23	TM	ID	1	1	WQ		-9	1366	1305	−2	+3	116	130
2011	07	28	ID	TM	4	3	WQ		18	1323	1348	+3	−5	127	121
2012	01	27	RO	TM	4	0	F	TR	4	1711	1344	0	0	37	121
2012	03	08	TM	MV	3	1	SQC	NP	12	1356	1093	+5	−2	116	177
2012	03	10	PS	TM	0	0	SQC	NP	5	1278	1351	+2	−2	138	118
2012	03	12	NP	TM	0	3	SQC		-10	932	1361	−2	+3	193	115
2012	03	16	TM	PH	2	1	SQC	NP	8	1369	1099	0	−2	115	177
2012	03	19	KP	TM	2	1	SQC	NP	11	1543	1358	+4	−1	75	116
2012	10	24	VN	TM	0	1	VFF		-17	1288	1375	−7	+4	140	115
2012	10	28	TM	LA	4	2	VFF	VN	2	1377	850	0	0	115	208
2013	03	22	TM	KH	7	0	SCQ	PH	2	1379	680	0	0	115	221
2013	03	26	PH	TM	1	0	SCQ		25	1223	1354	+7	−3	149	120
2014	05	20	TM	LA	5	1	SQC	MV	4	1358	848	0	0	123	206
2014	05	22	AF	TM	3	1	SQC	MV	50	1123	1308	+8	−8	174	131
2014	05	24	PH	TM	2	0	SQC	MV	39	1238	1269	+12	−8	146	139
2015	06	11	GU	TM	1	0	WQS		35	849	1234	+1	−5	207	145
2015	06	16	TM	IR	1	1	WQS		17	1251	1732	+6	−6	142	33
2015	09	03	OM	TM	3	1	WQS		7	1518	1244	+3	−2	78	143
2015	10	08	TM	IN	2	1	WQS		6	1250	1032	+3	0	143	185
2015	10	13	TM	GU	1	0	WQS		3	1253	891	+1	0	142	204
2015	11	05	AE	TM	5	1	F		2	1623	1251	+1	0	53	142
2015	11	12	IR	TM	3	1	WQS		2	1727	1249	+1	+1	35	141
2015	11	17	TM	OM	2	1	WQS		28	1277	1476	+7	−7	137	92
2016	03	29	IN	TM	1	2	WQS		-15	1071	1292	−1	+2	183	134
2016	08	08	OM	TM	1	0	F		3	1473	1289	0	−1	91	134
2016	10	11	KG	TM	1	0	F		9	1230	1280	+3	−5	152	141
2016	11	09	TJ	TM	3	0	F		15	1246	1265	+4	−3	148	144
2017	03	26	TW	TM	1	3	SQ		-9	855	1274	−2	+3	205	141
2017	06	13	TM	BH	1	2	SQ		-19	1255	1407	−4	+2	144	105
2017	08	23	QA	TM	2	1	F		2	1542	1253	0	0	74	143
2017	09	05	SG	TM	1	1	SQ		4	1086	1249	+2	−2	179	146
2017	10	10	TM	SG	2	1	SQ		7	1256	1077	+1	−2	145	181
2017	11	14	TM	TW	2	1	SQ		3	1259	927	0	0	146	198
